,Question,Answer,intent
1,Was Alessandro Volta a professor of chemistry?,No,intent_1
3,Did Alessandro Volta invent the remotely operated pistol?,Yes,intent_2
5,Was Alessandro Volta taught in public schools?,Yes,intent_3
13,Did Alessandro Volta die and retire in the same place?,Yes,intent_4
40,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes,intent_5
41,Is the battery made by Volta credited as the first electrochemical cell?,Yes,intent_6
44,Was Avogadro a  professor at the University of Turin?,Yes,intent_7
46,Was he a member of the Royal Superior Council on Public Instruction?,Yes,intent_8
48,Is Avogadro's number used to compute the results of chemical reactions?,Yes,intent_9
62,Was Amedeo Avogadro was born in Turin?,Yes,intent_10
64,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,intent_11
66,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,intent_12
76,Is Amedeo Avogadro Italian?,Yes,intent_13
78,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,intent_14
122,Is Antwerp a city?,Yes,intent_15
124,Is Antwerp a municipality?,Yes,intent_16
126,Is Antwerp in Belgium?,Yes,intent_17
134,Why is Antwerp important to fashion?,Yes,intent_18
140,Is Arabic a Central Semitic language?,Yes,intent_19
142,Was Arabic a major vehicle of culture in Europe?,Yes,intent_20
144,Is Arabic classified alongside Semitic languages?,Yes,intent_21
162,Is Hassaniya Arabic spoken in Mauritania?,Yes,intent_22
231,"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes,intent_23
232,Did Pascal also write in defense of the scientific method?,Yes,intent_24
283,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes,intent_25
285,"Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?",Yes,intent_26
286,"The SI unit of charge, the coulomb, was named after him?",Yes,intent_27
287,"Did Coulomb die in Angoul̻me, France, to a well-to-do family?",No,intent_28
290,Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes,intent_29
292,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes,intent_30
384,Is the dragonfly associated with late summer as well as early autumn?,Yes,intent_31
424,Are drums usually played by the hands?,Yes,intent_32
427,"Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?",Yes,intent_33
428,Is the electric eel a true eel?,No,intent_34
430,Are most eels predators?,Yes,intent_35
432,Is eel blood toxic to humans?,Yes,intent_36
444,Do all eels live in fresh water?,No,intent_37
446,Is Finnish an official language of the European Union?,Yes,intent_38
448,Are the dialects of Finnish divided into two groups?,Yes,intent_39
450,Is Finnish threatened by English?,No,intent_40
481,Has the flute been dated to prehistoric times?,Yes,intent_41
483,Was the pan flute used in Greece?,Yes,intent_42
485,Can a flute be played with several different air sources?,Yes,intent_43
499,Has the dragon historically served as China's national emblem?,Yes,intent_44
501,Do pandas hibernate?,No,intent_45
503,Do giant pandas attack humans?,Yes,intent_46
